"id","status","template_id","accession_number","attempts","created_at"
253,completed,96,"515004",3,2022-06-23 16:38:07.902 +0930
205,failed,96,"514610",8,2022-06-21 14:04:09.246 +0930
217,completed,100,"514726",2,2022-06-22 11:20:57.275 +0930
187,completed,96,"514526",3,2022-06-21 10:22:11.126 +0930
208,failed,110,"514634",8,2022-06-21 15:18:48.619 +0930
254,completed,100,"515029",3,2022-06-24 09:25:12.071 +0930
190,completed,100,"514541",1,2022-06-21 10:55:05.239 +0930
255,completed,96,"515033",3,2022-06-24 09:34:52.903 +0930
256,completed,110,"515055",2,2022-06-24 10:18:18.488 +0930
222,completed,96,"514760",3,2022-06-22 13:30:49.417 +0930
259,completed,96,"515105",3,2022-06-24 12:24:43.494 +0930
231,completed,99,"514845",3,2022-06-23 09:02:32.784 +0930
230,completed,100,"514833",2,2022-06-22 17:21:56.273 +0930
219,completed,100,"514733",2,2022-06-22 11:34:54.496 +0930
218,completed,100,"514732",2,2022-06-22 11:34:13.302 +0930
216,completed,100,"514723",4,2022-06-22 11:02:31.479 +0930
257,completed,110,"515101",2,2022-06-24 12:18:28.746 +0930
227,failed,100,"514798",8,2022-06-22 15:33:15.636 +0930
220,completed,100,"514751",2,2022-06-22 13:01:48.330 +0930
260,completed,100,"515111",2,2022-06-24 13:07:57.842 +0930
258,completed,96,"515103",4,2022-06-24 12:20:25.259 +0930
261,completed,96,"515117",3,2022-06-24 13:32:51.144 +0930
226,completed,96,"514794",4,2022-06-22 15:17:22.560 +0930
225,completed,100,"514775",2,2022-06-22 14:11:04.347 +0930
224,completed,100,"514768",3,2022-06-22 13:54:36.642 +0930
223,completed,96,"514767",4,2022-06-22 13:54:02.111 +0930
228,completed,100,"514815",2,2022-06-22 16:05:12.164 +0930
229,completed,110,"514822",3,2022-06-22 16:26:19.718 +0930
232,completed,100,"514850",4,2022-06-23 09:12:41.721 +0930
234,completed,100,"514861",3,2022-06-23 09:51:50.826 +0930
233,completed,96,"514851",4,2022-06-23 09:20:44.682 +0930
388,completed,100,"516561",4,2022-07-06 09:52:21.538 +0930
282,failed,96,"515368",8,2022-06-27 15:26:40.700 +0930
270,completed,100,"515222",3,2022-06-27 09:27:19.222 +0930
346,completed,96,"516072",3,2022-07-01 13:31:46.173 +0930
329,completed,96,"515878",4,2022-06-30 13:01:12.450 +0930
320,failed,96,"515814",8,2022-06-30 09:35:06.282 +0930
263,completed,110,"515160",2,2022-06-24 15:30:17.790 +0930
272,completed,99,"515240",3,2022-06-27 10:04:52.237 +0930
271,completed,96,"515227",4,2022-06-27 09:35:24.144 +0930
290,completed,96,"515426",4,2022-06-28 09:32:46.153 +0930
273,completed,96,"515256",2,2022-06-27 10:56:13.275 +0930
339,completed,100,"516014",2,2022-07-01 10:52:33.739 +0930
274,completed,96,"515264",3,2022-06-27 11:16:49.002 +0930
291,completed,100,"515467",3,2022-06-28 11:12:12.152 +0930
330,completed,96,"515907",3,2022-06-30 14:30:45.552 +0930
304,completed,100,"515683",3,2022-06-29 11:31:40.368 +0930
292,completed,100,"515479",2,2022-06-28 11:37:03.745 +0930
306,completed,100,"515696",2,2022-06-29 11:59:24.095 +0930
265,completed,100,"515174",4,2022-06-24 15:58:12.713 +0930
268,failed,96,"515206",8,2022-06-27 08:52:21.191 +0930
267,completed,96,"515190",4,2022-06-24 16:31:44.662 +0930
266,completed,100,"515186",4,2022-06-24 16:23:29.532 +0930
276,completed,100,"515302",3,2022-06-27 12:39:13.037 +0930
275,completed,96,"515297",4,2022-06-27 12:21:54.464 +0930
305,completed,96,"515687",4,2022-06-29 11:33:47.271 +0930
262,failed,100,"515150",8,2022-06-24 14:59:10.087 +0930
332,completed,96,"515926",2,2022-06-30 15:27:34.050 +0930
294,completed,100,"515498",2,2022-06-28 12:25:46.537 +0930
307,completed,96,"515709",3,2022-06-29 13:06:45.597 +0930
295,completed,100,"515502",2,2022-06-28 12:33:26.085 +0930
269,completed,100,"515215",2,2022-06-27 09:07:55.671 +0930
341,completed,100,"516029",2,2022-07-01 11:45:37.671 +0930
318,completed,96,"515798",4,2022-06-30 08:58:59.083 +0930
289,failed,99,"515408",8,2022-06-28 08:58:10.862 +0930
340,completed,100,"516026",3,2022-07-01 11:33:19.164 +0930
331,completed,96,"515915",4,2022-06-30 14:50:38.711 +0930
308,completed,110,"515717",3,2022-06-29 13:38:30.785 +0930
278,completed,100,"515316",3,2022-06-27 13:36:37.169 +0930
364,completed,100,"516237",3,2022-07-04 11:54:31.396 +0930
333,completed,96,"515936",3,2022-06-30 15:42:42.923 +0930
334,completed,96,"515937",3,2022-06-30 15:43:36.656 +0930
280,completed,96,"515331",3,2022-06-27 14:00:37.569 +0930
328,failed,99,"515870",8,2022-06-30 12:17:47.325 +0930
279,completed,96,"515330",4,2022-06-27 14:00:18.449 +0930
342,completed,100,"516045",3,2022-07-01 12:11:30.247 +0930
335,completed,96,"515955",4,2022-06-30 16:58:04.817 +0930
319,completed,96,"515803",4,2022-06-30 09:17:37.442 +0930
296,completed,99,"515548",4,2022-06-28 15:15:57.413 +0930
321,completed,96,"515820",2,2022-06-30 09:46:43.671 +0930
299,completed,100,"515576",2,2022-06-28 16:15:25.688 +0930
309,completed,100,"515729",2,2022-06-29 14:39:59.159 +0930
277,completed,96,"515310",5,2022-06-27 13:27:34.998 +0930
